id:id,l10n_ec_country_code
base.as,16
base.bv,74
base.ar,101
base.bo,102
base.br,103
base.ca,104
base.co,105
base.cr,106
base.cu,107
base.cl,108
base.ai,109
base.us,110
base.gt,111
base.ht,112
base.hn,113
base.jm,114
base.mx,116
base.ni,117
base.pa,118
base.py,119
base.pe,120
base.pr,121
base.do,122
base.sv,123
base.tt,124
base.uy,125
base.ve,126
base.cw,127
base.bs,129
base.bb,130
base.gd,131
base.gy,132
base.sr,133
base.ag,134
base.bz,135
base.dm,136
base.kn,137
base.lc,138
base.vc,139
base.aw,141
base.bm,142
base.gp,143
base.gf,144
base.ky,145
base.vg,146
base.mq,148
base.ms,149
base.tc,151
base.vi,152
base.al,201
base.de,202
base.qa,334
base.mv,335
base.np,336
base.om,337
base.sg,338
base.lk,339
base.vn,341
base.ye,342
base.hm,343
base.bn,344
base.tr,346
base.az,347
base.kz,348
base.tj,350
base.tm,351
base.uz,352
base.ps,353
base.hk,354
base.mo,355
base.am,356
base.me,382
base.bf,402
base.dz,403
base.bi,404
base.cm,405
base.cg,406
base.et,407
base.gm,408
base.gn,409
base.lr,410
base.mg,412
base.mw,413
base.ml,414
base.mr,416
base.ng,417
base.zw,419
base.sn,420
base.ss,421
base.za,422
base.sl,423
base.tz,425
base.ug,426
base.zm,427
base.ax,428
base.bj,429
base.bw,430
base.cf,431
base.td,433
base.eg,434
base.ga,435
base.gh,436
base.at,203
base.be,204
base.bg,205
base.dk,208
base.es,209
base.fr,211
base.fi,212
base.uk,213
base.gr,214
base.nl,215
base.hu,216
base.ie,217
base.is,218
base.it,219
base.lu,220
base.mt,221
base.no,222
base.pl,223
base.pt,224
base.ro,225
base.se,226
base.ch,227
base.ua,229
base.ru,230
base.ad,233
base.li,234
base.mc,235
base.sm,237
base.va,238
base.gi,239
base.by,241
base.ba,242
base.hr,243
base.si,244
base.ee,245
base.ge,246
base.gl,247
base.lt,249
base.md,250
base.mk,251
base.sk,252
base.fo,253
base.tf,260
base.af,301
base.sa,302
base.mm,303
base.kh,304
base.kp,306
base.tw,307
base.ph,308
base.in,309
base.id,310
base.gw,437
base.gq,438
base.ke,439
base.ls,440
base.mu,441
base.mz,442
base.yt,443
base.en,444
base.rw,445
base.sc,446
base.eh,447
base.so,448
base.st,449
base.sz,450
base.tg,451
base.tn,452
base.ao,454
base.cv,456
base.km,458
base.dj,459
base.na,460
base.er,463
base.ma,464
base.re,465
base.sh,466
base.je,499
base.au,501
base.nz,503
base.ws,504
base.fj,506
base.pg,507
base.to,508
base.pw,509
base.ki,510
base.mh,511
base.fm,512
base.nr,513
base.sb,514
base.tv,515
base.vu,516
base.gu,517
base.cc,518
base.ck,519
base.cx,520
base.un,522
base.nf,523
base.nc,524
base.pn,525
base.pf,526
base.tl,529
base.tk,530
base.wf,532
base.bl,590
base.iq,311
base.ir,312
base.il,313
base.jp,314
base.jo,315
base.kw,316
base.la,317
base.my,319
base.mn,321
base.pk,322
base.sy,323
base.th,325
base.bh,327
base.bd,328
base.bt,329
base.kr,330
base.cn,331
base.ae,333
base.ec,593
base.ci,597
base.cy,598
base.cz,599
base.fk,600
base.lv,601
base.ly,602
base.mp,603
base.pm,604
base.oi,607
base.rs,688
base.gg,831
base.mi,833
